Date,Stock,Stock_Count
2026-01-22,KDDL,67
2026-01-22,RML,67
2026-01-22,PRICOLLTD,67
2026-01-23,SYRMA,27
2026-01-23,SUDEEPPHRM,27
2026-01-27,AEGISLOG,73
2026-01-27,GIPCL,73
2026-01-27,HESTERBIO,73
2026-01-27,TDPOWERSYS,73
2026-01-27,SKIPPER,73
2026-01-27,MACPOWER,73
2026-01-27,ACMESOLAR,73
2026-01-27,SAILIFE,73
2026-01-28,SOMANYCERA,83
2026-01-28,PRUDENT,83
2026-01-29,TITAN,34
2026-01-29,INDOTECH,34
2026-01-29,KALYANKJIL,34
2026-01-29,SANSERA,34
2026-01-29,UNIMECH,34
2026-01-29,ATLANTAELE,34
2026-01-30,NEULANDLAB,26
2026-01-30,RATEGAIN,26
2026-02-03,DIFFNKG,16
2026-02-09,ARTEMISMED,9
2026-02-11,RATEGAIN,1
2026-02-17,VIDYAWIRES,16
2026-02-18,APOLLO,32
2026-02-23,GIPCL,14
2026-02-23,RGL,14
2026-02-24,RPEL,14
2026-02-25,UFLEX,23
2026-02-25,TALBROAUTO,23
2026-02-25,KALYANKJIL,23
2026-02-26,UNIMECH,38
2026-02-27,SETL,36
2026-03-02,SKIPPER,25
2026-03-05,CUPID,57
2026-03-05,TBZ,57
2026-03-05,IRISDOREME,57
2026-03-06,SYRMA,37
2026-03-09,YATHARTH,47
2026-03-10,ARROWGREEN,82
2026-03-10,DCBBANK,82
2026-03-16,TDPOWERSYS,19
2026-03-16,SHADOWFAX,19
2026-03-18,UNIVCABLES,100
2026-03-18,CEMPRO,100
2026-03-18,RAMRAT,100
2026-03-18,APOLLO,100
2026-03-18,MARINE,100
2026-03-18,NUVAMA,100
2026-03-18,DIFFNKG,100
2026-03-24,RADICO,24
2026-03-24,THELEELA,24
2026-03-25,SHRIRAMFIN,55
2026-03-25,INDNIPPON,55
2026-03-25,RML,55
2026-03-25,EDELWEISS,55
2026-04-01,VADILALIND,97
2026-04-02,MENONBE,60
2026-04-02,SILVERTUC,60
2026-04-02,GHCLTEXTIL,60
2026-04-06,PTCIL,21
2026-04-27,RGL,8
2026-04-27,SPECTRUM,8
2026-05-14,TBOTEK,9
2026-05-15,TITAN,25
2026-05-21,TAALTECH,26
2026-05-25,PTCIL,19
2026-06-04,DPABHUSHAN,40
2026-06-04,AEGISVOPAK,40
2026-06-12,RAMRAT,62
2026-06-12,DYCL,62
2026-07-06,TDPOWERSYS,11
2026-07-10,NETWEB,33
2026-07-20,ELANTAS,20
2026-07-22,PRECWIRE,14
2026-07-23,BAJAJCON,12
2026-07-24,GAEL,24
2026-07-24,QPOWER,24
2026-07-31,ADANIPOWER,36
2026-08-04,MCX,6
2026-08-07,MAHABANK,4
2026-08-11,NUVAMA,10
2026-08-17,ARFIN,27
2026-08-28,BAJAJCON,17
2026-09-01,CENTENKA,9
2026-09-01,INDNIPPON,9
2026-09-09,POWERINDIA,12
