"Sr.","Stock Name","Symbol","Change %","LTP"
1,"India Nippon Electricals Limited","INDNIPPON",17.02,1313.3
2,"Wheels India Limited","WHEELS",13.97,2400.6
3,"Confidence Petroleum India Ltd","CONFIPET",9.9,90.66
4,"TAAL Tech Ltd","TAALTECH",7.82,4886.6
5,"Huhtamaki India Ltd","HUHTAMAKI",6.84,267.85
6,"Antelopus Selan Energy Ltd","ANTELOPUS",6.39,1169.4
7,"Va Tech Wabag Limited","WABAG",6.1,2130.9
8,"Aegis Logistics Ltd","AEGISLOG",5.94,1343.4
9,"Spectrum Electrical Industries Ltd","SPECTRUM",5,2741.6
10,"Bhagyanagar India","BHAGYANGR",5,411.65
11,"Standard Enginnering Technology Ltd","SETL",4.99,424.7
12,"Corona Remedies Ltd","CORONA",4.97,2197.2
13,"Menon Bearings Limited","MENONBE",4.96,305.5
14,"SBC Exports Ltd","SBC",4.08,48.68
15,"Fujiyama Power Systems Ltd","UTLSOLAR",3.75,451.5
16,"Artemis Medicare Services Ltd","ARTEMISMED",3.58,354.3
17,"Craftsman Automation Ltd","CRAFTSMAN",3.51,11806
18,"Panama Petrochem Limited","PANAMAPET",3.16,498.4
19,"Adani Power Limited","ADANIPOWER",3.12,214.9
20,"Tinna Rubber & Infrastructure Ltd","TINNARUBR",2.84,1047.9
21,"Shivalik Bimetal Controls Ltd","SBCL",2.83,1136.5
22,"ASK Automotive Ltd","ASKAUTOLTD",2.8,627.25
23,"Timex Group India Ltd","TIMEX",2.68,623.35
24,"Sansera Engineering Ltd","SANSERA",2.54,4135.9
25,"Aegis Vopak Terminals Ltd","AEGISVOPAK",2.41,297.65
26,"Yatharth Hospital & Trauma Care Services Ltd","YATHARTH",2.04,989.7
27,"Investment & Precision Castings Ltd","INVPRECQ",1.99,1351.3
28,"Kennametal India Ltd","KENNAMET",1.98,4746.7
29,"Acutaas Chemicals Ltd","ACUTAAS",1.88,3241.8
30,"Cupid Limited","CUPID",1.78,279.7
31,"Lumax Auto Technologies Limited","LUMAXTECH",1.77,1990.6
32,"Sai Life Sciences Ltd","SAILIFE",1.72,1675.4
33,"GNG Electronics Ltd","EBGNG",1.6,675.8
34,"TBO Tek Ltd","TBOTEK",1.57,1721.1
35,"Venus Remedies Limited","VENUSREM",1.54,1650.2
36,"Sky Gold Ltd","SKYGOLD",1.49,832.2
37,"Hitachi Energy India Ltd","POWERINDIA",1.43,31580
38,"Bajaj Consumer Care Ltd","BAJAJCON",1.43,521.45
39,"Seshaasai Technologies Ltd","STYL",1.41,388.75
40,"Shaily Engineering Plastics Ltd","SHAILY",1.39,3455
